fueltype,aspiration,carbody,drivewheel,enginetype,stroke,wheelbase,curbweight,carlength,carwidth,carheight,enginesize,boreratio,horsepower,citympg,highwaympg,price
gas,std,convertible,rwd,dohc,2,88.6,2548,168.8,64.1,48.8,130,3.47,111,21,27,13495
gas,std,convertible,rwd,dohc,2,88.6,2548,168.8,64.1,48.8,130,3.47,111,21,27,16500
gas,std,hatchback,rwd,ohcv,4,94.5,2823,171.2,65.5,52.4,152,2.68,154,19,26,16500
gas,std,sedan,fwd,ohc,4,99.8,2337,176.6,66.2,54.3,109,3.19,102,24,30,13950
gas,std,sedan,4wd,ohc,4,99.4,2824,176.6,66.4,54.3,136,3.19,115,18,22,17450
gas,std,sedan,fwd,ohc,4,99.8,2507,177.3,66.3,53.1,136,3.19,110,19,25,15250
gas,std,sedan,fwd,ohc,4,105.8,2844,192.7,71.4,55.7,136,3.19,110,19,25,17710
gas,std,wagon,fwd,ohc,4,105.8,2954,192.7,71.4,55.7,136,3.19,110,19,25,18920
gas,turbo,sedan,fwd,ohc,4,105.8,3086,192.7,71.4,55.9,131,3.13,140,17,20,23875
gas,turbo,hatchback,4wd,ohc,4,99.5,3053,178.2,67.9,52,131,3.13,160,16,22,17859.167
gas,std,sedan,rwd,ohc,2,101.2,2395,176.8,64.8,54.3,108,3.5,101,23,29,16430
gas,std,sedan,rwd,ohc,2,101.2,2395,176.8,64.8,54.3,108,3.5,101,23,29,16925
gas,std,sedan,rwd,ohc,4,101.2,2710,176.8,64.8,54.3,164,3.31,121,21,28,20970
gas,std,sedan,rwd,ohc,4,101.2,2765,176.8,64.8,54.3,164,3.31,121,21,28,21105
gas,std,sedan,rwd,ohc,4,103.5,3055,189,66.9,55.7,164,3.31,121,20,25,24565
gas,std,sedan,rwd,ohc,4,103.5,3230,189,66.9,55.7,209,3.62,182,16,22,30760
gas,std,sedan,rwd,ohc,4,103.5,3380,193.8,67.9,53.7,209,3.62,182,16,22,41315
gas,std,sedan,rwd,ohc,4,110,3505,197,70.9,56.3,209,3.62,182,15,20,36880
gas,std,hatchback,fwd,l,4,88.4,1488,141.1,60.3,53.2,61,2.91,48,47,53,5151
gas,std,hatchback,fwd,ohc,4,94.5,1874,155.9,63.6,52,90,3.03,70,38,43,6295
gas,std,sedan,fwd,ohc,4,94.5,1909,158.8,63.6,52,90,3.03,70,38,43,6575
gas,std,hatchback,fwd,ohc,4,93.7,1876,157.3,63.8,50.8,90,2.97,68,37,41,5572
gas,std,hatchback,fwd,ohc,4,93.7,1876,157.3,63.8,50.8,90,2.97,68,31,38,6377
gas,turbo,hatchback,fwd,ohc,4,93.7,2128,157.3,63.8,50.8,98,3.03,102,24,30,7957
gas,std,hatchback,fwd,ohc,4,93.7,1967,157.3,63.8,50.6,90,2.97,68,31,38,6229
gas,std,sedan,fwd,ohc,4,93.7,1989,157.3,63.8,50.6,90,2.97,68,31,38,6692
gas,std,sedan,fwd,ohc,4,93.7,1989,157.3,63.8,50.6,90,2.97,68,31,38,7609
gas,turbo,sedan,fwd,ohc,4,93.7,2191,157.3,63.8,50.6,98,3.03,102,24,30,8558
gas,std,wagon,fwd,ohc,4,103.3,2535,174.6,64.6,59.8,122,3.34,88,24,30,8921
gas,turbo,hatchback,fwd,ohc,4,95.9,2811,173.2,66.3,50.2,156,3.6,145,19,24,12964
gas,std,hatchback,fwd,ohc,4,86.6,1713,144.6,63.9,50.8,92,2.91,58,49,54,6479
gas,std,hatchback,fwd,ohc,4,86.6,1819,144.6,63.9,50.8,92,2.91,76,31,38,6855
gas,std,hatchback,fwd,ohc,4,93.7,1837,150,64,52.6,79,2.91,60,38,42,5399
gas,std,hatchback,fwd,ohc,4,93.7,1940,150,64,52.6,92,2.91,76,30,34,6529
gas,std,hatchback,fwd,ohc,4,93.7,1956,150,64,52.6,92,2.91,76,30,34,7129
gas,std,sedan,fwd,ohc,4,96.5,2010,163.4,64,54.5,92,2.91,76,30,34,7295
gas,std,wagon,fwd,ohc,4,96.5,2024,157.1,63.9,58.3,92,2.92,76,30,34,7295
gas,std,hatchback,fwd,ohc,4,96.5,2236,167.5,65.2,53.3,110,3.15,86,27,33,7895
gas,std,hatchback,fwd,ohc,4,96.5,2289,167.5,65.2,53.3,110,3.15,86,27,33,9095
gas,std,sedan,fwd,ohc,4,96.5,2304,175.4,65.2,54.1,110,3.15,86,27,33,8845
gas,std,sedan,fwd,ohc,4,96.5,2372,175.4,62.5,54.1,110,3.15,86,27,33,10295
gas,std,sedan,fwd,ohc,4,96.5,2465,175.4,65.2,54.1,110,3.15,101,24,28,12945
gas,std,sedan,fwd,ohc,4,96.5,2293,169.1,66,51,110,3.15,100,25,31,10345
gas,std,sedan,rwd,ohc,4,94.3,2337,170.7,61.8,53.5,111,3.31,78,24,29,6785
gas,std,sedan,fwd,ohc,4,94.5,1874,155.9,63.6,52,90,3.03,70,38,43,8916.5
gas,std,sedan,fwd,ohc,4,94.5,1909,155.9,63.6,52,90,3.03,70,38,43,8916.5
gas,std,hatchback,rwd,ohc,4,96,2734,172.6,65.2,51.4,119,3.43,90,24,29,11048
gas,std,sedan,rwd,dohc,4,113,4066,199.6,69.6,52.8,258,3.63,176,15,19,32250
gas,std,sedan,rwd,dohc,4,113,4066,199.6,69.6,52.8,258,3.63,176,15,19,35550
gas,std,sedan,rwd,ohcv,2,102,3950,191.7,70.6,47.8,326,3.54,262,13,17,36000
gas,std,hatchback,fwd,ohc,4,93.1,1890,159.1,64.2,54.1,91,3.03,68,30,31,5195
gas,std,hatchback,fwd,ohc,4,93.1,1900,159.1,64.2,54.1,91,3.03,68,31,38,6095
gas,std,hatchback,fwd,ohc,4,93.1,1905,159.1,64.2,54.1,91,3.03,68,31,38,6795
gas,std,sedan,fwd,ohc,4,93.1,1945,166.8,64.2,54.1,91,3.03,68,31,38,6695
gas,std,sedan,fwd,ohc,4,93.1,1950,166.8,64.2,54.1,91,3.08,68,31,38,7395
gas,std,hatchback,rwd,rotor,4,95.3,2380,169,65.7,49.6,70,3.33,101,17,23,10945
gas,std,hatchback,rwd,rotor,4,95.3,2380,169,65.7,49.6,70,3.33,101,17,23,11845
gas,std,hatchback,rwd,rotor,4,95.3,2385,169,65.7,49.6,70,3.33,101,17,23,13645
gas,std,hatchback,rwd,rotor,4,95.3,2500,169,65.7,49.6,80,3.33,135,16,23,15645
gas,std,hatchback,fwd,ohc,4,98.8,2385,177.8,66.5,53.7,122,3.39,84,26,32,8845
gas,std,sedan,fwd,ohc,4,98.8,2410,177.8,66.5,55.5,122,3.39,84,26,32,8495
gas,std,hatchback,fwd,ohc,4,98.8,2385,177.8,66.5,53.7,122,3.39,84,26,32,10595
gas,std,sedan,fwd,ohc,4,98.8,2410,177.8,66.5,55.5,122,3.39,84,26,32,10245
diesel,std,sedan,fwd,ohc,4,98.8,2443,177.8,66.5,55.5,122,3.39,64,36,42,10795
gas,std,hatchback,fwd,ohc,4,98.8,2425,177.8,66.5,55.5,122,3.39,84,26,32,11245
gas,std,sedan,rwd,ohc,4,104.9,2670,175,66.1,54.4,140,3.76,120,19,27,18280
diesel,std,sedan,rwd,ohc,4,104.9,2700,175,66.1,54.4,134,3.43,72,31,39,18344
diesel,turbo,sedan,rwd,ohc,4,110,3515,190.9,70.3,56.5,183,3.58,123,22,25,25552
diesel,turbo,wagon,rwd,ohc,4,110,3750,190.9,70.3,58.7,183,3.58,123,22,25,28248
diesel,turbo,hardtop,rwd,ohc,4,106.7,3495,187.5,70.3,54.9,183,3.58,123,22,25,28176
diesel,turbo,sedan,rwd,ohc,4,115.6,3770,202.6,71.7,56.3,183,3.58,123,22,25,31600
gas,std,sedan,rwd,ohcv,4,115.6,3740,202.6,71.7,56.5,234,3.46,155,16,18,34184
gas,std,convertible,rwd,ohcv,4,96.6,3685,180.3,70.5,50.8,234,3.46,155,16,18,35056
gas,std,sedan,rwd,ohcv,4,120.9,3900,208.1,71.7,56.7,308,3.8,184,14,16,40960
gas,std,hardtop,rwd,ohcv,4,112,3715,199.2,72,55.4,304,3.8,184,14,16,45400
gas,turbo,hatchback,rwd,ohc,4,102.7,2910,178.4,68,54.8,140,3.78,175,19,24,16503
gas,std,hatchback,fwd,ohc,4,93.7,1918,157.3,64.4,50.8,92,2.97,68,37,41,5389
gas,std,hatchback,fwd,ohc,4,93.7,1944,157.3,64.4,50.8,92,2.97,68,31,38,6189
gas,std,hatchback,fwd,ohc,4,93.7,2004,157.3,64.4,50.8,92,2.97,68,31,38,6669
gas,turbo,hatchback,fwd,ohc,4,93,2145,157.3,63.8,50.8,98,3.03,102,24,30,7689
gas,turbo,hatchback,fwd,ohc,4,96.3,2370,173,65.4,49.4,110,3.17,116,23,30,9959
gas,std,hatchback,fwd,ohc,4,96.3,2328,173,65.4,49.4,122,3.35,88,25,32,8499
gas,turbo,hatchback,fwd,ohc,4,95.9,2833,173.2,66.3,50.2,156,3.58,145,19,24,12629
gas,turbo,hatchback,fwd,ohc,4,95.9,2921,173.2,66.3,50.2,156,3.59,145,19,24,14869
gas,turbo,hatchback,fwd,ohc,4,95.9,2926,173.2,66.3,50.2,156,3.59,145,19,24,14489
gas,std,sedan,fwd,ohc,4,96.3,2365,172.4,65.4,51.6,122,3.35,88,25,32,6989
gas,std,sedan,fwd,ohc,4,96.3,2405,172.4,65.4,51.6,122,3.35,88,25,32,8189
gas,turbo,sedan,fwd,ohc,4,96.3,2403,172.4,65.4,51.6,110,3.17,116,23,30,9279
gas,std,sedan,fwd,ohc,4,96.3,2403,172.4,65.4,51.6,110,3.17,116,23,30,9279
gas,std,sedan,fwd,ohc,4,94.5,1889,165.3,63.8,54.5,97,3.15,69,31,37,5499
diesel,std,sedan,fwd,ohc,4,94.5,2017,165.3,63.8,54.5,103,2.99,55,45,50,7099
gas,std,sedan,fwd,ohc,4,94.5,1918,165.3,63.8,54.5,97,3.15,69,31,37,6649
gas,std,sedan,fwd,ohc,4,94.5,1938,165.3,63.8,54.5,97,3.15,69,31,37,6849
gas,std,wagon,fwd,ohc,4,94.5,2024,170.2,63.8,53.5,97,3.15,69,31,37,7349
gas,std,sedan,fwd,ohc,4,94.5,1951,165.3,63.8,54.5,97,3.15,69,31,37,7299
gas,std,hatchback,fwd,ohc,4,94.5,2028,165.6,63.8,53.3,97,3.15,69,31,37,7799
gas,std,sedan,fwd,ohc,4,94.5,1971,165.3,63.8,54.5,97,3.15,69,31,37,7499
gas,std,wagon,fwd,ohc,4,94.5,2037,170.2,63.8,53.5,97,3.15,69,31,37,7999
gas,std,hardtop,fwd,ohc,4,95.1,2008,162.4,63.8,53.3,97,3.15,69,31,37,8249
gas,std,hatchback,fwd,ohc,4,97.2,2324,173.4,65.2,54.7,120,3.33,97,27,34,8949
gas,std,sedan,fwd,ohc,4,97.2,2302,173.4,65.2,54.7,120,3.33,97,27,34,9549
gas,std,sedan,fwd,ohcv,4,100.4,3095,181.7,66.5,55.1,181,3.43,152,17,22,13499
gas,std,wagon,fwd,ohcv,4,100.4,3296,184.6,66.5,56.1,181,3.43,152,17,22,14399
gas,std,sedan,fwd,ohcv,4,100.4,3060,184.6,66.5,55.1,181,3.43,152,19,25,13499
gas,std,hatchback,rwd,ohcv,4,91.3,3071,170.7,67.9,49.7,181,3.43,160,19,25,17199
gas,turbo,hatchback,rwd,ohcv,4,91.3,3139,170.7,67.9,49.7,181,3.43,200,17,23,19699
gas,std,hatchback,rwd,ohcv,4,99.2,3139,178.5,67.9,49.7,181,3.43,160,19,25,18399
gas,std,sedan,rwd,l,4,107.9,3020,186.7,68.4,56.7,120,3.46,97,19,24,11900
diesel,turbo,sedan,rwd,l,4,107.9,3197,186.7,68.4,56.7,152,3.7,95,28,33,13200
gas,std,wagon,rwd,l,4,114.2,3230,198.9,68.4,58.7,120,3.46,97,19,24,12440
diesel,turbo,wagon,rwd,l,4,114.2,3430,198.9,68.4,58.7,152,3.7,95,25,25,13860
gas,std,sedan,rwd,l,2,107.9,3075,186.7,68.4,56.7,120,3.46,95,19,24,15580
diesel,turbo,sedan,rwd,l,4,107.9,3252,186.7,68.4,56.7,152,3.7,95,28,33,16900
gas,std,wagon,rwd,l,2,114.2,3285,198.9,68.4,56.7,120,3.46,95,19,24,16695
diesel,turbo,wagon,rwd,l,4,114.2,3485,198.9,68.4,58.7,152,3.7,95,25,25,17075
gas,std,sedan,rwd,l,4,107.9,3075,186.7,68.4,56.7,120,3.46,97,19,24,16630
diesel,turbo,sedan,rwd,l,4,107.9,3252,186.7,68.4,56.7,152,3.7,95,28,33,17950
gas,turbo,sedan,rwd,l,4,108,3130,186.7,68.3,56,134,3.61,142,18,24,18150
gas,std,hatchback,fwd,ohc,4,93.7,1918,157.3,63.8,50.8,90,2.97,68,37,41,5572
gas,turbo,hatchback,fwd,ohc,4,93.7,2128,157.3,63.8,50.8,98,3.03,102,24,30,7957
gas,std,hatchback,fwd,ohc,4,93.7,1967,157.3,63.8,50.6,90,2.97,68,31,38,6229
gas,std,sedan,fwd,ohc,4,93.7,1989,167.3,63.8,50.8,90,2.97,68,31,38,6692
gas,std,sedan,fwd,ohc,4,93.7,2191,167.3,63.8,50.8,98,2.97,68,31,38,7609
gas,std,wagon,fwd,ohc,4,103.3,2535,174.6,64.6,59.8,122,3.35,88,24,30,8921
gas,turbo,hatchback,rwd,ohc,4,95.9,2818,173.2,66.3,50.2,156,3.59,145,19,24,12764
gas,std,hatchback,rwd,ohc,4,94.5,2778,168.9,68.3,50.2,151,3.94,143,19,27,22018
gas,std,hardtop,rwd,ohcf,2,89.5,2756,168.9,65,51.6,194,3.74,207,17,25,32528
gas,std,hardtop,rwd,ohcf,2,89.5,2756,168.9,65,51.6,194,3.74,207,17,25,34028
gas,std,convertible,rwd,ohcf,2,89.5,2800,168.9,65,51.6,194,3.74,207,17,25,37028
gas,std,hatchback,rwd,dohc,4,98.4,3366,175.7,72.3,50.5,203,3.94,288,17,28,31400.5
gas,std,wagon,fwd,ohc,4,96.1,2579,181.5,66.5,55.2,132,3.46,90,23,31,9295
gas,std,hatchback,fwd,ohc,4,96.1,2460,176.8,66.6,50.5,132,3.46,90,23,31,9895
gas,std,hatchback,fwd,ohc,4,99.1,2658,186.6,66.5,56.1,121,3.54,110,21,28,11850
gas,std,sedan,fwd,ohc,4,99.1,2695,186.6,66.5,56.1,121,3.54,110,21,28,12170
gas,std,hatchback,fwd,ohc,2,99.1,2707,186.6,66.5,56.1,121,2.54,110,21,28,15040
gas,std,sedan,fwd,ohc,4,99.1,2758,186.6,66.5,56.1,121,3.54,110,21,28,15510
gas,turbo,hatchback,fwd,dohc,4,99.1,2808,186.6,66.5,56.1,121,3.54,160,19,26,18150
gas,turbo,sedan,fwd,dohc,4,99.1,2847,186.6,66.5,56.1,121,3.54,160,19,26,18620
gas,std,hatchback,fwd,ohcf,2,93.7,2050,156.9,63.4,53.7,97,3.62,69,31,36,5118
gas,std,hatchback,fwd,ohcf,2,93.7,2120,157.9,63.6,53.7,108,3.62,73,26,31,7053
gas,std,hatchback,4wd,ohcf,2,93.3,2240,157.3,63.8,55.7,108,3.62,73,26,31,7603
gas,std,sedan,fwd,ohcf,2,97.2,2145,172,65.4,52.5,108,3.62,82,32,37,7126
gas,std,sedan,fwd,ohcf,2,97.2,2190,172,65.4,52.5,108,3.62,82,28,33,7775
gas,std,sedan,fwd,ohcf,2,97.2,2340,172,65.4,52.5,108,3.62,94,26,32,9960
gas,std,sedan,4wd,ohcf,2,97,2385,172,65.4,54.3,108,3.62,82,24,25,9233
gas,turbo,sedan,4wd,ohcf,2,97,2510,172,65.4,54.3,108,3.62,111,24,29,11259
gas,std,wagon,fwd,ohcf,2,97,2290,173.5,65.4,53,108,3.62,82,28,32,7463
gas,std,wagon,fwd,ohcf,2,97,2455,173.5,65.4,53,108,3.62,94,25,31,10198
gas,std,wagon,4wd,ohcf,2,96.9,2420,173.6,65.4,54.9,108,3.62,82,23,29,8013
gas,turbo,wagon,4wd,ohcf,2,96.9,2650,173.6,65.4,54.9,108,3.62,111,23,23,11694
gas,std,hatchback,fwd,ohc,4,95.7,1985,158.7,63.6,54.5,92,3.05,62,35,39,5348
gas,std,hatchback,fwd,ohc,4,95.7,2040,158.7,63.6,54.5,92,3.05,62,31,38,6338
gas,std,hatchback,fwd,ohc,4,95.7,2015,158.7,63.6,54.5,92,3.05,62,31,38,6488
gas,std,wagon,fwd,ohc,4,95.7,2280,169.7,63.6,59.1,92,3.05,62,31,37,6918
gas,std,wagon,4wd,ohc,4,95.7,2290,169.7,63.6,59.1,92,3.05,62,27,32,7898
gas,std,wagon,4wd,ohc,4,95.7,3110,169.7,63.6,59.1,92,3.05,62,27,32,8778
gas,std,sedan,fwd,ohc,4,95.7,2081,166.3,64.4,53,98,3.19,70,30,37,6938
gas,std,hatchback,fwd,ohc,4,95.7,2109,166.3,64.4,52.8,98,3.19,70,30,37,7198
diesel,std,sedan,fwd,ohc,4,95.7,2275,166.3,64.4,53,110,3.27,56,34,36,7898
diesel,std,hatchback,fwd,ohc,4,95.7,2275,166.3,64.4,52.8,110,3.27,56,38,47,7788
gas,std,sedan,fwd,ohc,4,95.7,2094,166.3,64.4,53,98,3.19,70,38,47,7738
gas,std,hatchback,fwd,ohc,4,95.7,2122,166.3,64.4,52.8,98,3.19,70,28,34,8358
gas,std,sedan,fwd,ohc,4,95.7,2140,166.3,64.4,52.8,98,3.19,70,28,34,9258
gas,std,sedan,rwd,ohc,4,94.5,2169,168.7,64,52.6,98,3.19,70,29,34,8058
gas,std,hatchback,rwd,ohc,4,94.5,2204,168.7,64,52.6,98,3.19,70,29,34,8238
gas,std,sedan,rwd,dohc,4,94.5,2265,168.7,64,52.6,98,3.24,112,26,29,9298
gas,std,hatchback,rwd,dohc,4,94.5,2300,168.7,64,52.6,98,3.24,112,26,29,9538
gas,std,hardtop,rwd,ohc,4,98.4,2540,176.2,65.6,52,146,3.62,116,24,30,8449
gas,std,hardtop,rwd,ohc,4,98.4,2536,176.2,65.6,52,146,3.62,116,24,30,9639
gas,std,hatchback,rwd,ohc,4,98.4,2551,176.2,65.6,52,146,3.62,116,24,30,9989
gas,std,hardtop,rwd,ohc,4,98.4,2679,176.2,65.6,52,146,3.62,116,24,30,11199
gas,std,hatchback,rwd,ohc,4,98.4,2714,176.2,65.6,52,146,3.62,116,24,30,11549
gas,std,convertible,rwd,ohc,4,98.4,2975,176.2,65.6,53,146,3.62,116,24,30,17669
gas,std,sedan,fwd,ohc,4,102.4,2326,175.6,66.5,54.9,122,3.31,92,29,34,8948
diesel,turbo,sedan,fwd,ohc,4,102.4,2480,175.6,66.5,54.9,110,3.27,73,30,33,10698
gas,std,hatchback,fwd,ohc,4,102.4,2414,175.6,66.5,53.9,122,3.31,92,27,32,9988
gas,std,sedan,fwd,ohc,4,102.4,2414,175.6,66.5,54.9,122,3.31,92,27,32,10898
gas,std,hatchback,fwd,ohc,4,102.4,2458,175.6,66.5,53.9,122,3.31,92,27,32,11248
gas,std,hatchback,rwd,dohc,4,102.9,2976,183.5,67.7,52,171,3.27,161,20,24,16558
gas,std,hatchback,rwd,dohc,4,102.9,3016,183.5,67.7,52,171,3.27,161,19,24,15998
gas,std,sedan,rwd,dohc,4,104.5,3131,187.8,66.5,54.1,171,3.27,156,20,24,15690
gas,std,wagon,rwd,dohc,4,104.5,3151,187.8,66.5,54.1,161,3.27,156,19,24,15750
diesel,std,sedan,fwd,ohc,4,97.3,2261,171.7,65.5,55.7,97,3.01,52,37,46,7775
gas,std,sedan,fwd,ohc,4,97.3,2209,171.7,65.5,55.7,109,3.19,85,27,34,7975
diesel,std,sedan,fwd,ohc,4,97.3,2264,171.7,65.5,55.7,97,3.01,52,37,46,7995
gas,std,sedan,fwd,ohc,4,97.3,2212,171.7,65.5,55.7,109,3.19,85,27,34,8195
gas,std,sedan,fwd,ohc,4,97.3,2275,171.7,65.5,55.7,109,3.19,85,27,34,8495
diesel,turbo,sedan,fwd,ohc,4,97.3,2319,171.7,65.5,55.7,97,3.01,68,37,42,9495
gas,std,sedan,fwd,ohc,4,97.3,2300,171.7,65.5,55.7,109,3.19,100,26,32,9995
gas,std,convertible,fwd,ohc,4,94.5,2254,159.3,64.2,55.6,109,3.19,90,24,29,11595
gas,std,hatchback,fwd,ohc,4,94.5,2221,165.7,64,51.4,109,3.19,90,24,29,9980
gas,std,sedan,fwd,ohc,4,100.4,2661,180.2,66.9,55.1,136,3.19,110,19,24,13295
diesel,turbo,sedan,fwd,ohc,4,100.4,2579,180.2,66.9,55.1,97,3.01,68,33,38,13845
gas,std,wagon,fwd,ohc,4,100.4,2563,183.1,66.9,55.1,109,3.19,88,25,31,12290
gas,std,sedan,rwd,ohc,4,104.3,2912,188.8,67.2,56.2,141,3.78,114,23,28,12940
gas,std,wagon,rwd,ohc,4,104.3,3034,188.8,67.2,57.5,141,3.78,114,23,28,13415
gas,std,sedan,rwd,ohc,4,104.3,2935,188.8,67.2,56.2,141,3.78,114,24,28,15985
gas,std,wagon,rwd,ohc,4,104.3,3042,188.8,67.2,57.5,141,3.78,114,24,28,16515
gas,turbo,sedan,rwd,ohc,4,104.3,3045,188.8,67.2,56.2,130,3.62,162,17,22,18420
gas,turbo,wagon,rwd,ohc,4,104.3,3157,188.8,67.2,57.5,130,3.62,162,17,22,18950
gas,std,sedan,rwd,ohc,4,109.1,2952,188.8,68.9,55.5,141,3.78,114,23,28,16845
gas,turbo,sedan,rwd,ohc,4,109.1,3049,188.8,68.8,55.5,141,3.78,160,19,25,19045
gas,std,sedan,rwd,ohcv,2,109.1,3012,188.8,68.9,55.5,173,3.58,134,18,23,21485
diesel,turbo,sedan,rwd,ohc,4,109.1,3217,188.8,68.9,55.5,145,3.01,106,26,27,22470
gas,turbo,sedan,rwd,ohc,4,109.1,3062,188.8,68.9,55.5,141,3.78,114,19,25,22625
